date,category,amount,department,vendor
2024-05-29,Office Supplies,167.91,Operations,Staples
2024-05-29,it,512.29,Operations,Atlassian
2024-05-29,Facilities,595.62,Engineering,Comcast Business
2024-05-30,IT,872.48,Finance,Datadog
2024-05-30,marketing,693.86,Operations, LinkedIn Ads  
2024-05-30,Facilities,981.29,Finance,Spectrum
2024-06-01,Facilities,1254.68,Engineering,  Spectrum 
2024-06-01,  IT ,275.20,Finance,Datadog
2024-06-02,IT,505.02,Sales,Datadog
2024-06-02,IT,924.35,Sales,Slack
2024-06-02,  Travel ,630.35,Operations,Lyft
2024-06-03,TRAVEL,236.33,Operations,Uber
2024-06-03,Travel,428.36,HR,Uber
2024-06-03,IT,550.48,Engineering,Slack
2024-06-04,IT,1084.01,Engineering,  Salesforce 
2024-06-04,Travel,226.93,HR,Booking.com
2024-06-04,Office Supplies,99.60,Sales,Amazon Business
2024-06-05,Office Supplies,20.13,Finance,Staples
2024-06-05,IT,538.33,Sales,Zoom
2024-06-05,  Marketing ,404.60,Operations,Mailchimp
2024-06-06,Equipment,247.58,Operations,Best Buy
2024-06-06,Travel,185.09,Engineering,Delta
2024-06-06,Travel,693.34,Sales,Marriott
2024-06-07,IT,542.78,Engineering,Slack
2024-06-07,EQUIPMENT,1307.98,Engineering,Apple
2024-06-08,Facilities,780.40,Finance,Pacific Gas & Electric
2024-06-08,IT,949.39,Sales,GitHub
2024-06-08,IT,160.55,Sales,Salesforce
2024-06-08,IT,206.89,Sales,Slack
2024-06-09,equipment,178.12,Operations,Apple
2024-06-09,IT,287.81,Sales,Microsoft 365
2024-06-09,Marketing,571.96,Sales,Mailchimp
2024-06-10,IT,916.76,Engineering,GitHub
2024-06-10,Facilities,1779.76,Operations,Pacific Gas & Electric
2024-06-11,Facilities,504.81,Operations,Spectrum
2024-06-11,OFFICE SUPPLIES,208.11,Sales,Office Depot
2024-06-11,Office Supplies,100.94,Operations,Office Depot
2024-06-12,Office Supplies,143.41,Engineering,Staples
2024-06-12,Marketing,867.00,Engineering,Mailchimp
2024-06-12,Professional Services,2104.63,Operations,Anderson Tax LLP
2024-06-12,Equipment,1095.73,Sales,  Apple 
2024-06-12,Office Supplies,153.27,Engineering,Office Depot
2024-06-13,Travel,517.05,Operations,Delta
2024-06-13,IT,600.25,Sales,Slack
2024-06-13,Travel,616.63,Finance,United Airlines
2024-06-13,Travel,603.81,Engineering,Lyft
2024-06-13,Travel,164.40,Sales,United Airlines
2024-06-14, Facilities  ,975.38,Engineering,Comcast Business
2024-06-14,Office Supplies,80.62,Engineering,Amazon Business
2024-06-14,Travel,253.55,Engineering,Uber
2024-06-15,Facilities,296.61,Engineering,Pacific Gas & Electric
2024-06-15,Office Supplies,51.35,HR,Office Depot
2024-06-16,IT,579.79,Sales,Salesforce
2024-06-16,Office Supplies,130.23,Operations,Office Depot
2024-06-16,Travel,159.28,HR,Marriott
2024-06-16,IT,961.41,Engineering,Datadog
2024-06-16,Marketing,409.84,Finance,Canva
2024-06-18,Travel,230.34,Engineering,Booking.com
2024-06-18,Marketing,224.36,HR,HubSpot
2024-06-19,IT,838.22,Sales,Salesforce
2024-06-19,Professional Services,5828.59,Operations,Mercer Consulting
2024-06-19,Marketing,266.26,Sales,Mailchimp
2024-06-19,IT,244.11,Operations,Microsoft 365
2024-06-20,IT,446.31,Engineering,Microsoft 365
2024-06-20,Marketing,270.26,Sales,Google Ads
2024-06-21,Office Supplies,154.26,Sales,Office Depot
2024-06-21,IT,481.37,Finance,Microsoft 365
2024-06-21,Travel,251.64,Engineering,Booking.com
2024-06-22,IT,122.83,Engineering,Zoom
2024-06-22,Marketing,904.56,Sales,HubSpot
2024-06-23,IT,232.65,Operations,Slack
2024-06-23,Travel,865.39,Sales,Uber
2024-06-24,Facilities,620.85,Finance,Comcast Business
2024-06-24,Equipment,476.06,Engineering,Best Buy
2024-06-24,IT,674.45,Engineering,Atlassian
2024-06-25,Travel,636.98,Operations,Lyft
2024-06-25,Facilities,1153.94,Operations,Comcast Business
2024-06-26,it,556.65,Engineering,Microsoft 365
2024-06-26,Marketing,416.55,Engineering,LinkedIn Ads
2024-06-26,IT,256.65,Operations,Zoom
2024-06-26,IT,368.32,Operations,Notion
2024-06-26,Marketing,1005.71,Engineering,HubSpot
2024-06-26,MARKETING,1085.73,Sales,LinkedIn Ads
2024-06-27,IT,810.58,Sales,Zoom
2024-06-27,Marketing,121.17,Sales,HubSpot
2024-06-28,Facilities,607.44,Operations,Spectrum
2024-06-28,Marketing,279.04,Engineering,Meta Ads
2024-06-28,Equipment,1145.58,Engineering,Best Buy
2024-06-28,Facilities,976.51,Sales,Spectrum
2024-06-28,IT,283.16,Operations,Atlassian
2024-06-29,Office Supplies,228.10,Sales,Staples
2024-06-29,Office Supplies,148.27,Engineering,Amazon Business
2024-06-29, FACILITIES  ,2049.63,Sales,Spectrum
2024-06-29,Marketing,514.24,Sales,Mailchimp
2024-06-30,Marketing,331.82,Operations,Mailchimp
2024-06-30,IT,779.28,Operations,Datadog
2024-06-30,IT,139.15,Operations,Atlassian
2024-07-01,Office Supplies,154.36,Sales,  Amazon Business 
2024-07-01,  Office Supplies ,33.88,Sales,Amazon Business
2024-07-01,Travel,493.19,Engineering,Lyft
2024-07-01,Facilities,2131.92,Sales,Pacific Gas & Electric
2024-07-01,Facilities,1336.82,Engineering,Pacific Gas & Electric
2024-07-01,TRAVEL,506.45,Finance,Booking.com
2024-07-03,Travel,866.37,Sales,Marriott
2024-07-03,IT,294.48,HR,Zoom
2024-07-04,Equipment,484.08,Sales,CDW
2024-07-05,Travel,595.25,Engineering,Uber
2024-07-05,Travel,317.04,Finance,Booking.com
2024-07-05,Office Supplies,18.11,Finance,Office Depot
2024-07-06,IT,907.05,Finance,Microsoft 365
2024-07-06,Marketing,1029.21,Engineering,Meta Ads
2024-07-06,Marketing,481.54,Finance,Canva
2024-07-06,Office Supplies,86.94,Finance,Office Depot
2024-07-06,Travel,278.11,Sales,Delta
2024-07-06,Travel,180.75,Engineering,Booking.com
2024-07-07,Marketing,229.35,Sales,Canva
2024-07-07,Marketing,135.17,Finance,Meta Ads
2024-07-08,IT,138.61,Engineering,Datadog
2024-07-08,IT,1075.65,Operations,Zoom
2024-07-08,IT,420.09,Operations,Slack
2024-07-08,IT,358.18,Sales,GitHub
2024-07-09,Equipment,1017.98,Sales,Apple
2024-07-09,IT,1014.86,Operations,Zoom
2024-07-10,Travel,605.02,Sales,Lyft
2024-07-10,Equipment,367.32,Finance,Dell
2024-07-10,  IT ,825.44,Engineering,Microsoft 365
2024-07-10,Equipment,222.81,Engineering,Apple
2024-07-10,IT,203.81,Operations,Microsoft 365
2024-07-11,IT,498.44,HR,GitHub
2024-07-11,Marketing,591.69,Operations,Google Ads
2024-07-12,Travel,254.92,HR,Lyft
2024-07-12,Equipment,1033.48,Engineering,CDW
2024-07-12,IT,154.73,HR,GitHub
2024-07-12,Marketing,302.20,Sales, Canva  
2024-07-13,Travel,265.26,Sales,Uber
2024-07-13,  Travel ,376.86,Sales,Marriott
2024-07-13,Marketing,938.74,Engineering,Mailchimp
2024-07-14,Travel,740.63,Operations,Lyft
2024-07-14,Facilities,417.73,Operations,Pacific Gas & Electric
2024-07-15,Marketing,209.64,Sales,LinkedIn Ads
2024-07-16,Travel,572.03,Sales,Delta
2024-07-16,Office Supplies,178.42,Finance,Amazon Business
2024-07-16,IT,150.20,Finance,Microsoft 365
2024-07-17,Information Technology,533.97,Finance,Salesforce
2024-07-17,Equipment,513.30,Sales,Dell
2024-07-17,Marketing,734.49,Sales,Google Ads
2024-07-18,Facilities,1880.15,Operations,Comcast Business
2024-07-18,IT,217.38,Engineering,AWS
2024-07-18,Marketing,339.78,Operations,HubSpot
2024-07-18,Facilities,634.13,Sales,WeWork
2024-07-18,IT,,Engineering,Atlassian
2024-07-20,IT,422.55,Finance,Slack
2024-07-20,IT,241.05,Sales,Zoom
2024-07-20,Office Supplies,83.95,Sales,Office Depot
2024-07-20,IT,818.74,Engineering,Notion
2024-07-20,IT,678.26,Engineering,Datadog
2024-07-21,Office Supplies,61.91,Finance,Amazon Business
2024-07-21,IT,607.51,Sales,Atlassian
2024-07-21,Marketing,808.81,Operations,Meta Ads
2024-07-21,IT,125.65,Engineering,Microsoft 365
2024-07-21,TRAVEL,85.78,Sales,Delta
2024-07-22,IT,344.23,Finance,Slack
2024-07-22,Travel,775.18,Sales,Marriott
2024-07-23,Marketing,403.06,HR,Meta Ads
2024-07-23,IT,499.87,Sales,Notion
2024-07-23,Travel,298.13,Engineering,United Airlines
2024-07-23,Equipment,674.80,Sales,CDW
2024-07-23,Travel,600.61,HR,Delta
2024-07-23,IT,636.36,Sales,Datadog
2024-07-24,IT,93.78,Operations,Microsoft 365
2024-07-25,Marketing,325.88,HR,Meta Ads
2024-07-25,Equipment,153.92,Engineering,CDW
2024-07-26,Professional Services,1619.92,Engineering,Anderson Tax LLP
2024-07-26,IT,759.46,Engineering,Datadog
2024-07-27,IT,158.47,Sales,Salesforce
2024-07-27,Office Supplies,119.86,Operations,Amazon Business
2024-07-28,Facilities,1549.82,Engineering,Spectrum
2024-07-28,Travel,593.04,Engineering,Marriott
2024-07-28,IT,224.25,Sales,GitHub
2024-07-28,IT,1151.60,Operations,Slack
2024-07-28, Equipment  ,615.37,Sales,Best Buy
2024-07-28,MKTG,158.72,Sales,Meta Ads
2024-07-29,Marketing,1223.61,Operations,Canva
2024-07-29,Professional Services,3890.09,Sales,Mercer Consulting
2024-07-29,Office Supplies,89.04,Sales,Staples
2024-07-30,Equipment,558.47,Sales,Apple
2024-07-30,Marketing,599.41,Operations,Canva
2024-07-30,IT,830.08,Engineering,Datadog
2024-07-31,Marketing,328.69,Engineering,HubSpot
2024-07-31,Travel,429.26,HR,Uber
2024-07-31,Marketing,385.93,Operations,LinkedIn Ads
2024-07-31,TRAVEL,278.95,Operations,Lyft
2024-08-01,Travel,562.33,Finance,Marriott
2024-08-01,Marketing,400.79,Engineering,Canva
2024-08-01,Office Supplies,178.55,HR,Office Depot
2024-08-02,Travel,775.69,Sales,United Airlines
2024-08-02,Marketing,222.11,Operations,HubSpot
2024-08-02,Office Supplies,90.05,Sales,Office Depot
2024-08-02,Marketing,721.87,Sales,Mailchimp
2024-08-02,Office Supplies,101.88,Engineering,Staples
2024-08-03,Travel,220.13,Engineering,Booking.com
2024-08-04,Professional Services,1018.71,Operations,Anderson Tax LLP
2024-08-05,MARKETING,680.56,Sales,LinkedIn Ads
2024-08-05,IT,1087.98,HR,Atlassian
2024-08-05,IT,89.94,Finance,Atlassian
2024-08-05,Marketing,676.48,Sales,HubSpot
2024-08-08,Office Supplies,188.92,Operations,Amazon Business
2024-08-08,Travel,129.66,Engineering,United Airlines
2024-08-10,Equipment,159.24,Engineering,Best Buy
2024-08-10,Equipment,408.51,Engineering,CDW
2024-08-10,IT,414.17,Finance,Slack
2024-08-10,travel,711.78,Operations,United Airlines
2024-08-12,Marketing,274.98,Engineering,LinkedIn Ads
2024-08-12,I.T.,941.79,HR,Atlassian
2024-08-13,I.T.,174.83,Sales, AWS  
2024-08-13,Marketing,304.97,Sales,Meta Ads
2024-08-14,Office Supplies,111.80,Finance,Office Depot
2024-08-14,Office Supplies,101.49,HR,  Office Depot 
2024-08-14,Marketing,1218.49,Sales,LinkedIn Ads
2024-08-14,Professional Services,3560.14,Engineering,Anderson Tax LLP
2024-08-15,equipment,616.02,Finance,Best Buy
2024-08-15,Marketing,335.68,Operations,Google Ads
2024-08-16, IT  ,119.51,Sales,Zoom
2024-08-16, Travel  ,152.86,Finance,Delta
2024-08-16,Travel,684.59,Operations,United Airlines
2024-08-16, Prof Svcs  ,1957.30,Sales,Mercer Consulting
2024-08-16,IT,641.17,Finance,GitHub
2024-08-17,IT,647.43,HR,AWS
2024-08-17,Marketing,217.10,Operations,Meta Ads
2024-08-17,IT,211.66,Operations, Salesforce  
2024-08-17,IT,472.92,Engineering,Zoom
2024-08-17,Professional Services,2693.11,Sales,Reed & Co Legal
2024-08-17,Marketing,652.03,Engineering,Google Ads
2024-08-19,IT,283.47,Sales,GitHub
2024-08-20,  IT ,315.18,Operations,Atlassian
2024-08-20,Travel,318.04,Engineering,Delta
2024-08-21,Office Supplies,57.41,Engineering,Amazon Business
2024-08-22,Facilities,1292.59,Sales,Spectrum
2024-08-22,Facilities,1036.24,Engineering,WeWork
2024-08-23,Travel,247.41,HR,United Airlines
2024-08-23,Information Technology,645.04,Operations,Zoom
2024-08-24,Marketing,567.66,HR,Mailchimp
2024-08-24,IT,289.06,Operations,Notion
2024-08-24,Equipment,590.42,Engineering,Best Buy
2024-08-24,IT,469.40,Sales,Datadog
2024-08-24,Office Supplies,83.36,Sales,Staples
2024-08-25,Marketing,1043.97,Engineering,Meta Ads
2024-08-25,Professional Services,6724.24,Finance,Mercer Consulting
2024-08-26,Marketing,589.09,Sales,Mailchimp
2024-08-26,IT,600.54,Engineering,Salesforce
2024-08-27,Travel,348.99,Engineering,Marriott
2024-08-28,Equipment,391.04,Engineering,CDW
2024-08-28,IT,562.02,Sales,AWS
2024-08-28,Professional Services,4493.69,Engineering,Deloitte
2024-08-28,Equipment,623.87,Finance,Apple
2024-08-28,IT,1047.75,Engineering,Datadog
2024-08-28,TRAVEL,208.65,Engineering,Delta
2024-08-29,Marketing,748.70,Sales,Canva
2024-08-29,IT,539.70,Operations,Datadog
2024-08-29,travel,550.22,Engineering,Booking.com
2024-08-29,IT,257.08,HR,Zoom
2024-08-29,Travel,430.28,Sales,Uber
2024-08-29,Office Supplies,79.15,Engineering,Amazon Business
2024-08-30,Marketing,141.69,Engineering,Meta Ads
2024-08-31,Marketing,1019.47,Operations,Mailchimp
2024-08-31,Office Supplies,82.24,Sales,Office Depot
2024-08-31,Facilities,316.10,Operations,Comcast Business
2024-09-01,IT,682.76,Sales,Zoom
2024-09-01,travel,448.33,HR,Delta
2024-09-01,IT,215.36,Sales,Zoom
2024-09-01,Travel,295.10,Sales,Lyft
2024-09-01,Travel,398.17,Engineering,United Airlines
2024-09-02,Travel,567.20,Engineering,United Airlines
2024-09-02,Marketing,736.00,Engineering,Meta Ads
2024-09-03,IT,606.95,Engineering,AWS
2024-09-03,Office Supplies,83.04,Sales,Amazon Business
2024-09-03,IT,275.49,Engineering,Salesforce
2024-09-03,Travel,477.94,Sales,Lyft
2024-09-03,Facilities,861.36,Sales,Spectrum
2024-09-04,Professional Services,1426.22,Operations,Deloitte
2024-09-04,Marketing,468.21,Sales,LinkedIn Ads
2024-09-04,IT,323.63,Operations,Notion
2024-09-04,Office Supplies,260.95,Operations,Staples
2024-09-05,Marketing,820.50,Operations,Canva
2024-09-05,Marketing,630.87,Engineering,Mailchimp
2024-09-05,Facilities,1645.20,Finance,Pacific Gas & Electric
2024-09-06,Office Supplies,116.74,Operations,Office Depot
2024-09-06,IT,914.82,Engineering,AWS
2024-09-06,IT,311.62,Operations,AWS
2024-09-07,Facilities,839.97,Sales,Spectrum
2024-09-07,IT,104.77,Sales,Atlassian
2024-09-08,EQUIPMENT,1256.60,Engineering,Apple
2024-09-09,Travel,249.62,Engineering,Uber
2024-09-09,Travel,162.30,HR,Marriott
2024-09-09,Office Supplies,159.18,Engineering,Amazon Business
2024-09-09,Facilities,2100.27,Sales,Pacific Gas & Electric
2024-09-10,EQUIPMENT,381.70,Sales,Dell
2024-09-10,I.T.,686.84,Engineering,Zoom
2024-09-10,Office Supplies,121.34,Finance,Office Depot
2024-09-10,Professional Services,5959.57,Engineering,Reed & Co Legal
2024-09-10,IT,405.90,HR,Datadog
2024-09-10,Travel,382.47,Finance,United Airlines
2024-09-11,MARKETING,795.51,Sales,Canva
2024-09-13, OFFICE SUPPLIES  ,45.45,Finance,Office Depot
2024-09-13,Office Supplies,169.18,Engineering,Staples
2024-09-13,Marketing,400.62,Engineering,Meta Ads
2024-09-13,Office Supplies,50.66,Sales,Office Depot
2024-09-14,Equipment,1165.37,Engineering,Best Buy
2024-09-14,IT,239.29,Sales,Atlassian
2024-09-15,Facilities,1413.02,Operations,WeWork
2024-09-15,  MKTG ,510.30,Operations,Meta Ads
2024-09-16,Marketing,570.97,Engineering,HubSpot
2024-09-16,Travel,386.34,Sales,Uber
2024-09-16,Travel,821.58,Finance,Booking.com
2024-09-16,IT,194.58,Sales,Microsoft 365
2024-09-17,office supplies,163.45,HR,Office Depot
2024-09-17,IT,923.19,Sales,GitHub
2024-09-17,Facilities,1152.25,Sales,Comcast Business
2024-09-17,IT,170.88,Engineering,Atlassian
2024-09-18,it,994.40,Operations,Atlassian
2024-09-18,IT,221.38,Operations,Zoom
2024-09-18,IT,614.23,HR,Atlassian
2024-09-18,IT,526.98,Sales,Datadog
2024-09-18,Professional Services,2539.97,Sales, Deloitte  
2024-09-18,Travel,263.37,Engineering,Uber
2024-09-19,IT,519.31,Sales,Atlassian
2024-09-19,Marketing,196.91,Finance,Canva
2024-09-19,Office Supplies,90.68,Sales,Amazon Business
2024-09-20,Marketing,273.54,Sales,Meta Ads
2024-09-20,Marketing,682.16,HR,Google Ads
2024-09-20,Office supplies,226.38,Operations,Office Depot
2024-09-21,I.T.,281.49,Sales,Notion
2024-09-21,TRAVEL,746.76,Sales,United Airlines
2024-09-21,IT,117.24,Engineering,Datadog
2024-09-21,Equipment,568.02,Finance,Apple
2024-09-21,IT,935.76,Sales,Microsoft 365
2024-09-21,Marketing,1339.65,Operations,Google Ads
2024-09-22,IT,1104.01,Engineering,GitHub
2024-09-22,Facilities,863.66,Engineering,Pacific Gas & Electric
2024-09-22,IT,156.36,Engineering,Microsoft 365
2024-09-22,IT,658.49,Operations,Datadog
2024-09-23,Marketing,226.60,Operations,HubSpot
2024-09-23,IT,767.80,Sales,Microsoft 365
2024-09-23,Office Supplies,244.94,Engineering,Amazon Business
2024-09-23,Equipment,725.23,Operations,CDW
2024-09-23,Travel,829.43,Engineering,Delta
2024-09-24,Office Supplies,266.74,Sales,Staples
2024-09-24,Facilities,725.13,Engineering,Comcast Business
2024-09-25,Travel,209.68,Sales,United Airlines
2024-09-25,Marketing,227.06,Finance,Mailchimp
2024-09-25,Office supplies,52.90,Sales,Amazon Business
2024-09-25,Marketing,197.55,Sales,Google Ads
2024-09-26,Travel,338.59,Sales,United Airlines
2024-09-27,Office Supplies,251.23,Finance,Amazon Business
2024-09-27,Equipment,338.88,HR,CDW
2024-09-27,Marketing,647.65,Engineering,Canva
2024-09-27,Marketing,393.04,Operations,Mailchimp
2024-09-28,Travel,407.95,Sales,United Airlines
2024-09-28,marketing,226.68,Operations,Meta Ads
2024-09-28,Facilities,663.88,Operations,Pacific Gas & Electric
2024-09-29,TRAVEL,496.89,Finance,Lyft
2024-09-30,IT,421.59,Sales,Microsoft 365
2024-09-30,Equipment,294.61,Engineering,Dell
2024-09-30,Travel,453.11,Engineering,United Airlines
2024-09-30,Marketing,349.38,Engineering,Google Ads
2024-09-30,Marketing,1213.22,Operations,Canva
2024-10-01,IT,843.28,Sales,Datadog
2024-10-01,Travel,363.12,Finance,Uber
2024-10-01,MARKETING,590.27,Engineering,Mailchimp
2024-10-01,IT,577.42,Engineering,Atlassian
2024-10-01,Marketing,783.91,Engineering,HubSpot
2024-10-02,IT,517.78,Sales,GitHub
2024-10-02, IT  ,140.16,Engineering,Datadog
2024-10-02,Travel,325.96,Finance,Booking.com
2024-10-03, Facilities  ,616.44,Operations,WeWork
2024-10-03,Marketing,792.11,Sales,HubSpot
2024-10-05,Office Supplies,125.11,Finance,Staples
2024-10-05,Equipment,821.80,Engineering,Best Buy
2024-10-05,IT,401.99,Sales,Microsoft 365
2024-10-06,Facilities,854.18,Sales,WeWork
2024-10-06,Travel,311.72,Finance,United Airlines
2024-10-06,Office Supplies,52.59,Finance,Amazon Business
2024-10-06,Professional Services,2367.72,Sales,Reed & Co Legal
2024-10-07,Travel,453.54,Engineering,Marriott
2024-10-07,Facilities,1029.62,Engineering,Spectrum
2024-10-07,it,1092.12,Finance,GitHub
2024-10-08,Marketing,136.46,Engineering,HubSpot
2024-10-08,Travel,136.68,Sales,Delta
2024-10-09,Travel,216.83,Sales,Delta
2024-10-09,Facilities,412.55,Engineering,WeWork
2024-10-10,Marketing,272.52,Finance,LinkedIn Ads
2024-10-10,Professional Services,2889.60,Sales,Reed & Co Legal
2024-10-11,Facilities,930.71,Operations,Pacific Gas & Electric
2024-10-11,Equipment,1225.03,Engineering,Apple
2024-10-11,IT,1035.42,Sales,Zoom
2024-10-12,Equipment,823.13,Operations,CDW
2024-10-12,Travel,492.86,Sales,Uber
2024-10-12,  Facilities ,900.69,Sales,WeWork
2024-10-12,Travel,904.31,Sales,United Airlines
2024-10-12,FACILITIES,1150.70,HR,Pacific Gas & Electric
2024-10-13,Facilities,2077.24,Sales,WeWork
2024-10-13,Equipment,801.56,Engineering,CDW
2024-10-14,Travel,479.87,Operations,Booking.com
2024-10-15,Travel,306.97,Engineering,Delta
2024-10-15,IT,650.43,Sales,Atlassian
2024-10-16,marketing,1093.86,Operations,LinkedIn Ads
2024-10-16,IT,93.31,Operations,Datadog
2024-10-16, Marketing  ,740.78,Engineering,Mailchimp
2024-10-16,Travel,419.18,Operations,Booking.com
2024-10-16,Facilities,830.87,Sales,Pacific Gas & Electric
2024-10-17,IT,660.16,Sales,Slack
2024-10-17,Equipment,381.72,Engineering,Apple
2024-10-17, IT  ,794.49,Sales,Datadog
2024-10-17,Travel,227.00,Sales,United Airlines
2024-10-18,Marketing,186.06,Finance,HubSpot
2024-10-19,TRAVEL,195.79,Sales,United Airlines
2024-10-20,Travel,308.35,Engineering,Marriott
2024-10-21,IT,258.79,Finance,Atlassian
2024-10-21,IT,187.35,HR,Zoom
2024-10-21,Professional Services,6982.37,HR,Mercer Consulting
2024-10-22,Travel,273.31,Operations,Delta
2024-10-22,Marketing,848.90,Engineering,Mailchimp
2024-10-22,Marketing,478.18,Engineering,Canva
2024-10-23,Marketing,537.46,Sales,HubSpot
2024-10-23,IT,88.87,Engineering,Datadog
2024-10-24,Marketing,858.29,Engineering,HubSpot
2024-10-25,MARKETING,446.23,Finance,HubSpot
2024-10-25,EQUIP,602.41,Operations,Dell
2024-10-25,IT,138.11,Engineering,Atlassian
2024-10-25,IT,601.71,Finance,  AWS 
2024-10-25,Travel,690.35,Engineering,United Airlines
2024-10-26,FACILITIES,516.67,Operations,Spectrum
2024-10-26,Office Supplies,171.93,Engineering,Amazon Business
2024-10-26,  Travel ,723.53,Operations,Marriott
2024-10-26,Marketing,688.64,Operations,LinkedIn Ads
2024-10-26,Facilities,377.17,HR,  Comcast Business 
2024-10-26,Professional Services,4991.25,Sales,Mercer Consulting
2024-10-26,Travel,129.76,Operations, Delta  
2024-10-27,Office Supplies,151.62,Finance,Office Depot
2024-10-27,Marketing,621.56,Operations,LinkedIn Ads
2024-10-27,IT,339.59,Sales,Salesforce
2024-10-27,IT,184.62,HR,GitHub
2024-10-28,Marketing,760.63,Operations,Mailchimp
2024-10-29,IT,272.31,HR,Slack
2024-10-29, Travel  ,578.71,Operations,Uber
2024-10-29,Marketing,734.18,Finance,Canva
2024-10-29,I.T.,101.40,Engineering,Salesforce
2024-10-29,Facilities,1398.80,Finance,Pacific Gas & Electric
2024-10-30,IT,777.70,HR,Notion
2024-10-31,IT,634.44,Finance,Zoom
2024-10-31,it,360.12,Sales,Atlassian
2024-11-02,Marketing,1176.91,Sales,Google Ads
2024-11-03,IT,383.18,Engineering,Salesforce
